id,城市,日期,最高温度,最低温度,天气,风向
1,北京,2000-01-01,5.75804319779509,-3.7676104586975514,中雨,西北风 4级
2,北京,2000-01-02,8.879811819238915,2.8866827817350433,小雨,西风 2级
3,北京,2000-01-03,-1.9419504739538413,-9.255855906613855,小雨,西北风 5级
4,北京,2000-01-04,3.4416078060138453,-2.227710700680948,晴,东北风 1级
5,北京,2000-01-05,-2.7868794066626545,-12.187203453846903,大雨,东北风 3级
6,北京,2000-01-06,-0.20443125041095522,-8.665295033304881,阴,西北风 4级
7,北京,2000-01-07,8.298740128497272,1.3936366071462967,大雨,西风 3级
8,北京,2000-01-08,2.6550968392673244,-4.581477732885782,小雨,西风 4级
9,北京,2000-01-09,1.4277931160406876,-7.613160377128903,中雨,东北风 5级
10,北京,2000-01-10,4.5824359681384506,-4.902352858309478,阴,东北风 2级
11,北京,2000-01-11,-4.53902931367665,-10.114899271713181,大雨,东风 2级
12,北京,2000-01-12,0.18425456557817743,-9.290065678151597,晴,东风 1级
13,北京,2000-01-13,0.7440064062261614,-5.534648133319354,大雨,北风 4级
14,北京,2000-01-14,3.072075743202472,-5.0877661601388695,小雨,东北风 1级
15,北京,2000-01-15,-2.029483037226795,-8.667040387470673,小雨,南风 2级
16,北京,2000-01-16,3.6930264213964126,-3.3848182199347203,小雨,北风 3级
17,北京,2000-01-17,-2.3648465649402164,-10.553523566397857,阴,西南风 2级
18,北京,2000-01-18,-4.685789551773343,-13.732763889591073,大雨,东北风 1级
19,北京,2000-01-19,3.0780177897972516,-5.7805374718598275,阴,东北风 3级
20,北京,2000-01-20,-0.06497178700516026,-7.241539734492502,阴,东南风 2级
21,北京,2000-01-21,-1.8788999608944228,-8.461783454756095,大雨,东北风 3级
22,北京,2000-01-22,0.9993346280434684,-7.341717889553586,中雨,东北风 4级
23,北京,2000-01-23,8.032460273993687,-1.722550019964089,多云,西风 4级
24,北京,2000-01-24,3.399746963926893,-2.279462688400249,多云,东南风 5级
25,北京,2000-01-25,8.65541206460497,0.23520751790769268,阴,西风 4级
26,北京,2000-01-26,9.408453900458557,2.6334182021335044,中雨,东风 1级
27,北京,2000-01-27,9.377392090055833,0.429266903662084,多云,东风 4级
28,北京,2000-01-28,6.6795776315013065,1.0540843721937607,大雨,西南风 1级
29,北京,2000-01-29,-2.3147815890648866,-8.326006200882444,多云,西南风 5级
30,北京,2000-01-30,2.1373803279633465,-3.839613609679011,大雨,西风 4级
31,北京,2000-01-31,8.33934452958958,-0.26624603704249594,晴,西风 1级
32,北京,2000-02-01,3.000710436389652,-5.987607967771772,多云,西风 1级
33,北京,2000-02-02,7.549912524150251,-1.5993347266670348,中雨,西北风 3级
34,北京,2000-02-03,3.28545463606907,-3.061244279373434,多云,西风 3级
35,北京,2000-02-04,-3.0295836205137956,-11.8777014888896,小雨,南风 2级
36,北京,2000-02-05,9.184730849122317,2.6436926123872357,阴,东南风 5级
37,北京,2000-02-06,8.185374123058711,2.0013250838025467,大雨,西风 1级
38,北京,2000-02-07,7.1013800574222445,1.4560289635620123,晴,东北风 1级
